include,part,function_name,order,required,argument,argument_list,default,ui,choices,range,validation,validation_args,transformation,transformation_args,design_changes,description,note
TRUE,ui,absolutePanel,1,,top,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"Distance between the top of the panel, and the top of the page or parent container.",
TRUE,ui,absolutePanel,2,,left,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"Distance between the left side of the panel, and the left of the page or parent container.",
TRUE,ui,absolutePanel,3,,right,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"Distance between the right side of the panel, and the right of the page or parent container.",
TRUE,ui,absolutePanel,4,,bottom,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"Distance between the bottom of the panel, and the bottom of the page or parent container.",
TRUE,ui,absolutePanel,5,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,Width of the panel.,
TRUE,ui,absolutePanel,6,,height,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,Height of the panel.,
FALSE,ui,absolutePanel,7,,draggable,,FALSE,checkboxInput,,,,,,,,"If TRUE, allows the user to move the panel by clicking and dragging.",
FALSE,ui,absolutePanel,8,,fixed,,FALSE,checkboxInput,,,,,,,,Positions the panel relative to the browser window and prevents it from being scrolled with the rest of the page.,
TRUE,ui,absolutePanel,9,,cursor,,auto,selectInput,cursor,,,,.to_string,,,"The type of cursor that should appear when the user mouses over the panel. Use move for a north-east-south-west icon, default for the usual cursor arrow, or inherit for the usual cursor behavior (including changing to an I-beam when the cursor is over text). The default is auto, which is equivalent to ifelse(draggable, move, inherit).",
FALSE,ui,absolutePanel,10,,,,,,,,,,,,,Attributes (named arguments) or children (unnamed arguments) that should be included in the panel.,
TRUE,ui,actionBttn,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,actionBttn,2,,label,,label,textInput,,,,,.to_string,,,"The contents of the button, usually a text label.",
